district,Latitude,Longitude
Adlershof,52.43548,13.54825
Bavarian Quarter,52.4897,13.3397
Berlin,52.52,13.405
Charlottenburg,52.51667,13.28333
Friedenau,52.4726,13.3327
Friedrichshain,52.515816,13.454293
Friedrichshain-Kreuzberg,52.499567,13.431419
Gesundbrunnen,52.55035,13.39139
Hermsdorf,52.61131,13.31783
Kreuzberg,52.498604,13.391799
Lichtenberg,52.5336,13.4999
Marienfelde,52.5336,13.4999
Marzahn,52.542659,13.549363
Mitte,52.531677,13.381777
Moabit,52.5308,13.3472
Neukölln,52.440771,13.444507
Other,,
Pankow,52.5929,13.4317
Prenzlauer Berg,52.53878,13.42443
Reinickendorf,52.56667,13.33333
Rudolfkiez,53.629,13.414897
Schöneberg,52.48388,13.3477
Schönefeld,52.38333,13.51667
Spandau,52.535188,13.200296
Steglitz,52.4531,13.3312
Teltow,52.3975,13.2753
Tempelhof,52.4695,13.3856
Tiergarten,52.51667,13.36667
Treptow,52.4204,13.62
Treptow-Köpenick,52.4204,13.62
Wedding,52.5505,13.352
Weissensee,52.5539,13.4675
Westend,52.5162,13.26
Wilmersdorf,52.4905,13.3145